Ticker,Return
AAPL,-0.13390748291518853
ABBV,-0.05763762904057833
ABT,-0.0749175705004681
ADBE,-0.07774850573370636
ADP,-0.05290207972854612
AMD,-0.07333750372037734
AMGN,-0.047398410290805174
AMT,-0.06725685207688993
AMZN,-0.07265325634416679
AVGO,-0.04449903037642429
BAC,-0.08867676939889484
BKNG,-0.03499159966312814
BLK,-0.048122131373317396
BMY,-0.06654895784195099
BRK.B,-0.05366945085946108
C,-0.07140753733264675
CAT,-0.05034940009306234
CB,-0.06452632542098008
COST,-0.04669075088584138
CRM,-0.05780402192362725
CVX,-0.07469219079047723
DIS,-0.07356388145478508
DUK,-0.07343120599284335
ELV,-0.04644862646221394
GE,-0.08313712724777993
GILD,-0.07694303417782694
GOOGL,-0.08087863539340173
GS,-0.06444210227596944
HD,-0.05339136087338203
HON,-0.056122884404382525
IBM,-0.08002464941254982
INTC,-0.0950052512674822
INTU,-0.07756439941860338
ISRG,-0.06797464971304083
JNJ,-0.05308747733164236
JPM,-0.09038791824801576
KO,-0.062069017953950506
LLY,-0.045747662658969
LMT,-0.050913198611952086
LOW,-0.047739006551228716
MA,-0.05624030335152969
MDLZ,-0.07182654418572167
MDT,-0.08082743517743202
META,-0.06578877295111493
MMC,-0.07916032953378536
MRK,-0.046618289145217165
MS,-0.0588335921954069
MSFT,-0.0858079683979835
NEE,-0.08945944737850772
NFLX,-0.05171236199795862
NKE,-0.08093816955853544
NOW,-0.044399068087273945
NVDA,-0.06469823077846389
ORCL,-0.07294391425878771
PEP,-0.0981962972187145
PFE,-0.13594986150500638
PG,-0.05046354513606859
PLD,-0.06069479406499423
PM,-0.07461555906537362
PYPL,-0.08029400065628124
QCOM,-0.08084041903574721
REGN,-0.06226740230269482
RTX,-0.07346199582199012
SCHW,-0.08184411115727791
SO,-0.05183930606726543
SPGI,-0.05826337351314548
SYK,-0.05946566148552563
T,-0.1194093448250098
TJX,-0.07548424051312749
TMO,-0.049481551272761236
TSLA,-0.07023771755954762
TXN,-0.08816446046880681
UBER,-0.10927461078652465
UNH,-0.05710810537585132
UNP,-0.05750519388650622
UPS,-0.08763503024051193
V,-0.08346227535584476
VRTX,-0.06769922237320052
VZ,-0.07281250669858447
WMT,-0.074621357806225
XOM,-0.08047771076784083
ZTS,-0.04176888575335796
