Ticker,Return
AAPL,-0.1436387361415129
ABBV,-0.070624103033661
ABT,-0.08067722185470061
ADBE,-0.08202101303755864
ADP,-0.05882356649408327
AMD,-0.09374932131817586
AMGN,-0.050333841021389415
AMT,-0.07898480248391253
AMZN,-0.0792038353702637
AVGO,-0.06023436540813509
BAC,-0.10427027801571535
BKNG,-0.048493694643930975
BLK,-0.05941318276669035
BMY,-0.08283454229995924
BRK.B,-0.06805411567804205
C,-0.0793633820928668
CAT,-0.060447194315106
CB,-0.08006246141521182
COST,-0.05733583003957839
CRM,-0.07559847811890552
CVX,-0.09091854117108651
DIS,-0.07646560985816342
DUK,-0.07789350088395379
ELV,-0.061846200087556556
GE,-0.1020682203107317
GILD,-0.09717437898929282
GOOGL,-0.0939540907497793
GS,-0.07181923370907706
HD,-0.07546644191223684
HON,-0.07813716353931706
IBM,-0.08568105808431266
INTC,-0.1327009901024735
INTU,-0.09954849588479191
ISRG,-0.08247921580807475
JNJ,-0.060737067503232746
JPM,-0.09792482122915025
KO,-0.06783719325372976
LLY,-0.05734183525235611
LMT,-0.053569646519071444
LOW,-0.06591586500603246
MA,-0.07086201083952119
MDLZ,-0.0806092715282255
MDT,-0.08525007522879065
META,-0.07404421625986705
MMC,-0.09181362688669299
MRK,-0.06255395298505755
MS,-0.06923241152800363
MSFT,-0.10155491141208835
NEE,-0.09485681871796874
NFLX,-0.06461535138681378
NKE,-0.08673876111512176
NOW,-0.053807391138106286
NVDA,-0.07395619704778207
ORCL,-0.08543231089225989
PEP,-0.10476123535584951
PFE,-0.15169702675446006
PG,-0.0728260956926096
PLD,-0.07203437809747375
PM,-0.08387136026161623
PYPL,-0.11843773849877899
QCOM,-0.10131338519638511
REGN,-0.06937507441876574
RTX,-0.0766256552303007
SCHW,-0.11092421803334677
SO,-0.05519778667020144
SPGI,-0.06505989296293561
SYK,-0.08033868423173869
T,-0.1356762144285456
TJX,-0.08230595024862264
TMO,-0.05969987046690465
TSLA,-0.08431782613113685
TXN,-0.09046951333713797
UBER,-0.12099172835896362
UNH,-0.06633015146970596
UNP,-0.07096253931271679
UPS,-0.1071435462307259
V,-0.09285925463460909
VRTX,-0.08409608110965831
VZ,-0.08546041782456341
WMT,-0.08688578006803445
XOM,-0.08868395148138171
ZTS,-0.045677025646507
