Ticker,Return
AAPL,0.08678382471903405
ABBV,0.04244497390759808
ABT,0.03727894381631407
ADBE,0.04191391105716823
ADP,0.0354186697316988
AMD,0.05347326438877593
AMGN,0.027458847535794122
AMT,0.04697111096392543
AMZN,0.04904909700881349
AVGO,0.02985214665861937
BAC,0.06293972984585128
BKNG,0.025837871423981397
BLK,0.03096977181015471
BMY,0.043889749611747415
BRK.B,0.03564630480680888
C,0.041547076115292556
CAT,0.037469623549032785
CB,0.03853212757820816
COST,0.029671185588286485
CRM,0.04284742741617415
CVX,0.03891972623414533
DIS,0.05266867669942742
DUK,0.040775928811101786
ELV,0.034317952039491804
GE,0.052367166848999336
GILD,0.05965544647708717
GOOGL,0.05099808107897227
GS,0.03965603366191153
HD,0.03930626623926871
HON,0.03859139638770017
IBM,0.0549317596222383
INTC,0.07195925453300776
INTU,0.05209718206019907
ISRG,0.045316554700788186
JNJ,0.03984140710608248
JPM,0.053271205360456604
KO,0.04011257064263663
LLY,0.03441985799938877
LMT,0.03261358930459308
LOW,0.036521911238791595
MA,0.031003355265076946
MDLZ,0.04567244156199126
MDT,0.05147952061177864
META,0.03867399562928673
MMC,0.04742095713263264
MRK,0.030616342842941985
MS,0.038385648511038206
MSFT,0.05509008161697277
NEE,0.056086203845381724
NFLX,0.033290775340298645
NKE,0.05039526626968511
NOW,0.03718988834306565
NVDA,0.038587754712700324
ORCL,0.04611349474452286
PEP,0.05445569689853464
PFE,0.08326407477837712
PG,0.03885687963313752
PLD,0.03952557309441474
PM,0.04965897041555407
PYPL,0.0548445601677881
QCOM,0.04588852015502019
REGN,0.041198687950029046
RTX,0.04528010721031569
SCHW,0.050706850399925334
SO,0.029892928786304264
SPGI,0.03980833611621963
SYK,0.037310360637647345
T,0.0857491331076261
TJX,0.04412128444677654
TMO,0.034428934398675566
TSLA,0.04974138572798098
TXN,0.05387731751537526
UBER,0.06579569747855231
UNH,0.03498926915656537
UNP,0.03802775164131679
UPS,0.05866631386542226
V,0.053959483736291364
VRTX,0.04249463178677584
VZ,0.052715470875114565
WMT,0.0441503125041929
XOM,0.05527834106083169
ZTS,0.030220019988806395
